Bill of Material for AEK USB Converter Rev 2,,,,,,
On 7/21/2015 at 9:56:59 PM,,,,,,
,,,Build Quantity:,3,,
Description,Value,Pattern,Quantity Per Board,Total Build Quantity,Components,Digikey Link
SMT Capacitor,0.1uF,C0603(1608)_NP_med,3,9,"C3, C6, C8",https://www.digikey.com/product-detail/en/GRM188R71E104KA01D/490-1524-1-ND/587865
SMT Capacitor,10pF,C0603(1608)_NP_med,2,6,"C1, C2",https://www.digikey.com/product-detail/en/CL10C100CB8NNNC/1276-1069-1-ND/3889155
SMT resistor,1k,R0603(1608)_med,2,6,"R3, R4",https://www.digikey.com/product-detail/en/MCT06030C1001FP500/MCT0603-1.00K-CFCT-ND/2607875
SMT resistor,1M,R0805(2012)_med,1,3,R5,http://www.digikey.com/product-detail/en/CRCW08051M00JNEA/541-1.0MACT-ND/1180412
SMT Capacitor,1uF,C0603(1608)_NP_med,2,6,"C4, C5",https://www.digikey.com/product-detail/en/CL10B105KA8NNNC/1276-1184-1-ND/3889270
SMT resistor,22 ohm,R0603(1608)_med,2,6,"R1, R2",https://www.digikey.com/product-detail/en/CRCW060322R0FKEA/541-22.0HCT-ND/1179617
SMT Capacitor,470pF,C0805(2012)_NP_med,1,3,C7,https://www.digikey.com/product-detail/en/C2012C0G2W471K060AA/445-15330-1-ND/4278503
"0.100 Pitch AEK Communication Internal Header""",AEK Internal Header,SSW-106-XX-X-S-RA,1,3,J2,https://www.digikey.com/product-detail/en/SSW-106-02-G-S-RA/SAM1225-06-ND/1112497
"8-bit AVR Microcontroller, 2.7-5.5V, 32KB Flash, 1KB EEPROM, 1KB SRAM, 32-pin TQFP",ATmega32U2-AU,32A_N,1,3,U1,https://www.digikey.com/product-detail/en/ATMEGA32U2-AU/ATMEGA32U2-AU-ND/2187167
SMD Pushbutton,SMD Pushbutton,PTS810,1,3,SW1,https://www.digikey.com/product-detail/en/PTS810%20SJM%20250%20SMTR%20LFS/CKN10502CT-ND/4176673
SMD4 Ceramic Pack Crystal,SMD4 Crystal,ABM3B,1,3,Y1,http://www.digikey.com/product-detail/en/ABM3B-16.000MHZ-10-1-U-T/300-8206-1-ND/687899
USB B Jack SMD,USB B Jack SMD,USB-B1SMHSXX,1,3,J1,https://www.digikey.com/product-detail/en/USB-B1SMHSW6/ED2994-ND/2677755
